init,final,1,x,y,x0,y0
1.0,42.0,1.0,429.0,421.0,9.0,1.0
1.0,43.0,1.0,439.0,431.0,9.0,1.0
1.0,44.0,1.0,449.0,441.0,9.0,1.0
1.0,45.0,1.0,459.0,451.0,9.0,1.0
1.0,46.0,1.0,469.0,461.0,9.0,1.0
1.0,47.0,1.0,479.0,471.0,9.0,1.0
1.0,48.0,1.0,489.0,481.0,9.0,1.0
1.0,49.0,1.0,499.0,491.0,9.0,1.0
1.0,0.0,1.0,3.0,0.0,3.0,0.0
1.0,1.0,1.0,13.0,10.0,3.0,0.0
1.0,2.0,1.0,23.0,20.0,3.0,0.0
1.0,3.0,1.0,33.0,30.0,3.0,0.0
1.0,4.0,1.0,43.0,40.0,3.0,0.0
1.0,5.0,1.0,53.0,50.0,3.0,0.0
1.0,6.0,1.0,63.0,60.0,3.0,0.0
1.0,7.0,1.0,73.0,70.0,3.0,0.0
1.0,8.0,1.0,83.0,80.0,3.0,0.0
1.0,9.0,1.0,93.0,90.0,3.0,0.0
1.0,10.0,1.0,103.0,100.0,3.0,0.0
1.0,11.0,1.0,113.0,110.0,3.0,0.0
1.0,12.0,1.0,123.0,120.0,3.0,0.0
1.0,13.0,1.0,133.0,130.0,3.0,0.0
1.0,14.0,1.0,143.0,140.0,3.0,0.0
1.0,15.0,1.0,153.0,150.0,3.0,0.0
1.0,16.0,1.0,163.0,160.0,3.0,0.0
1.0,17.0,1.0,173.0,170.0,3.0,0.0
1.0,18.0,1.0,183.0,180.0,3.0,0.0
1.0,19.0,1.0,193.0,190.0,3.0,0.0
1.0,20.0,1.0,203.0,200.0,3.0,0.0
1.0,21.0,1.0,213.0,210.0,3.0,0.0
1.0,22.0,1.0,223.0,220.0,3.0,0.0
1.0,23.0,1.0,233.0,230.0,3.0,0.0
1.0,24.0,1.0,243.0,240.0,3.0,0.0
1.0,25.0,1.0,253.0,250.0,3.0,0.0
1.0,26.0,1.0,263.0,260.0,3.0,0.0
1.0,27.0,1.0,273.0,270.0,3.0,0.0
1.0,28.0,1.0,283.0,280.0,3.0,0.0
1.0,29.0,1.0,293.0,290.0,3.0,0.0
1.0,30.0,1.0,303.0,300.0,3.0,0.0
1.0,31.0,1.0,313.0,310.0,3.0,0.0
1.0,32.0,1.0,323.0,320.0,3.0,0.0
1.0,33.0,1.0,333.0,330.0,3.0,0.0
1.0,34.0,1.0,343.0,340.0,3.0,0.0
1.0,35.0,1.0,353.0,350.0,3.0,0.0
1.0,36.0,1.0,363.0,360.0,3.0,0.0
1.0,37.0,1.0,373.0,370.0,3.0,0.0
1.0,38.0,1.0,383.0,380.0,3.0,0.0
1.0,39.0,1.0,393.0,390.0,3.0,0.0
1.0,40.0,1.0,403.0,400.0,3.0,0.0
1.0,41.0,1.0,413.0,410.0,3.0,0.0
1.0,42.0,1.0,423.0,420.0,3.0,0.0
1.0,43.0,1.0,433.0,430.0,3.0,0.0
1.0,44.0,1.0,443.0,440.0,3.0,0.0
1.0,45.0,1.0,453.0,450.0,3.0,0.0
1.0,46.0,1.0,463.0,460.0,3.0,0.0
1.0,47.0,1.0,473.0,470.0,3.0,0.0
1.0,48.0,1.0,483.0,480.0,3.0,0.0
1.0,49.0,1.0,493.0,490.0,3.0,0.0
1.0,0.0,1.0,3.0,10.0,3.0,10.0
1.0,1.0,1.0,13.0,20.0,3.0,10.0
1.0,2.0,1.0,23.0,30.0,3.0,10.0
1.0,3.0,1.0,33.0,40.0,3.0,10.0
1.0,4.0,1.0,43.0,50.0,3.0,10.0
1.0,5.0,1.0,53.0,60.0,3.0,10.0
1.0,6.0,1.0,63.0,70.0,3.0,10.0
1.0,7.0,1.0,73.0,80.0,3.0,10.0
1.0,8.0,1.0,83.0,90.0,3.0,10.0
1.0,9.0,1.0,93.0,100.0,3.0,10.0
1.0,10.0,1.0,103.0,110.0,3.0,10.0
1.0,11.0,1.0,113.0,120.0,3.0,10.0
1.0,12.0,1.0,123.0,130.0,3.0,10.0
1.0,13.0,1.0,133.0,140.0,3.0,10.0
1.0,14.0,1.0,143.0,150.0,3.0,10.0
1.0,15.0,1.0,153.0,160.0,3.0,10.0
1.0,16.0,1.0,163.0,170.0,3.0,10.0
1.0,17.0,1.0,173.0,180.0,3.0,10.0
1.0,18.0,1.0,183.0,190.0,3.0,10.0
1.0,19.0,1.0,193.0,200.0,3.0,10.0
1.0,20.0,1.0,203.0,210.0,3.0,10.0
1.0,21.0,1.0,213.0,220.0,3.0,10.0
1.0,22.0,1.0,223.0,230.0,3.0,10.0
1.0,23.0,1.0,233.0,240.0,3.0,10.0
1.0,24.0,1.0,243.0,250.0,3.0,10.0
1.0,25.0,1.0,253.0,260.0,3.0,10.0
1.0,26.0,1.0,263.0,270.0,3.0,10.0
1.0,27.0,1.0,273.0,280.0,3.0,10.0
1.0,28.0,1.0,283.0,290.0,3.0,10.0
1.0,29.0,1.0,293.0,300.0,3.0,10.0
1.0,30.0,1.0,303.0,310.0,3.0,10.0
1.0,31.0,1.0,313.0,320.0,3.0,10.0
1.0,32.0,1.0,323.0,330.0,3.0,10.0
1.0,33.0,1.0,333.0,340.0,3.0,10.0
1.0,34.0,1.0,343.0,350.0,3.0,10.0
1.0,35.0,1.0,353.0,360.0,3.0,10.0
1.0,36.0,1.0,363.0,370.0,3.0,10.0
1.0,37.0,1.0,373.0,380.0,3.0,10.0
1.0,38.0,1.0,383.0,390.0,3.0,10.0
1.0,39.0,1.0,393.0,400.0,3.0,10.0
1.0,40.0,1.0,403.0,410.0,3.0,10.0
1.0,41.0,1.0,413.0,420.0,3.0,10.0
1.0,42.0,1.0,423.0,430.0,3.0,10.0
1.0,43.0,1.0,433.0,440.0,3.0,10.0
1.0,44.0,1.0,443.0,450.0,3.0,10.0
1.0,45.0,1.0,453.0,460.0,3.0,10.0
1.0,46.0,1.0,463.0,470.0,3.0,10.0
1.0,47.0,1.0,473.0,480.0,3.0,10.0
1.0,48.0,1.0,483.0,490.0,3.0,10.0
1.0,49.0,1.0,493.0,500.0,3.0,10.0
1.0,0.0,1.0,3.0,4.0,3.0,4.0
1.0,1.0,1.0,13.0,14.0,3.0,4.0
1.0,2.0,1.0,23.0,24.0,3.0,4.0
1.0,3.0,1.0,33.0,34.0,3.0,4.0
1.0,4.0,1.0,43.0,44.0,3.0,4.0
1.0,5.0,1.0,53.0,54.0,3.0,4.0
1.0,6.0,1.0,63.0,64.0,3.0,4.0
1.0,7.0,1.0,73.0,74.0,3.0,4.0
1.0,8.0,1.0,83.0,84.0,3.0,4.0
1.0,9.0,1.0,93.0,94.0,3.0,4.0
1.0,10.0,1.0,103.0,104.0,3.0,4.0
1.0,11.0,1.0,113.0,114.0,3.0,4.0
1.0,12.0,1.0,123.0,124.0,3.0,4.0
1.0,13.0,1.0,133.0,134.0,3.0,4.0
1.0,14.0,1.0,143.0,144.0,3.0,4.0
1.0,15.0,1.0,153.0,154.0,3.0,4.0
1.0,16.0,1.0,163.0,164.0,3.0,4.0
1.0,17.0,1.0,173.0,174.0,3.0,4.0
1.0,18.0,1.0,183.0,184.0,3.0,4.0
1.0,19.0,1.0,193.0,194.0,3.0,4.0
1.0,20.0,1.0,203.0,204.0,3.0,4.0
1.0,21.0,1.0,213.0,214.0,3.0,4.0
1.0,22.0,1.0,223.0,224.0,3.0,4.0
1.0,23.0,1.0,233.0,234.0,3.0,4.0
1.0,24.0,1.0,243.0,244.0,3.0,4.0
1.0,25.0,1.0,253.0,254.0,3.0,4.0
1.0,26.0,1.0,263.0,264.0,3.0,4.0
1.0,27.0,1.0,273.0,274.0,3.0,4.0
1.0,28.0,1.0,283.0,284.0,3.0,4.0
1.0,29.0,1.0,293.0,294.0,3.0,4.0
1.0,30.0,1.0,303.0,304.0,3.0,4.0
1.0,31.0,1.0,313.0,314.0,3.0,4.0
1.0,32.0,1.0,323.0,324.0,3.0,4.0
1.0,33.0,1.0,333.0,334.0,3.0,4.0
1.0,34.0,1.0,343.0,344.0,3.0,4.0
1.0,35.0,1.0,353.0,354.0,3.0,4.0
1.0,36.0,1.0,363.0,364.0,3.0,4.0
1.0,37.0,1.0,373.0,374.0,3.0,4.0
1.0,38.0,1.0,383.0,384.0,3.0,4.0
1.0,39.0,1.0,393.0,394.0,3.0,4.0
1.0,40.0,1.0,403.0,404.0,3.0,4.0
1.0,41.0,1.0,413.0,414.0,3.0,4.0
1.0,42.0,1.0,423.0,424.0,3.0,4.0
1.0,43.0,1.0,433.0,434.0,3.0,4.0
1.0,44.0,1.0,443.0,444.0,3.0,4.0
1.0,45.0,1.0,453.0,454.0,3.0,4.0
1.0,46.0,1.0,463.0,464.0,3.0,4.0
1.0,47.0,1.0,473.0,474.0,3.0,4.0
1.0,48.0,1.0,483.0,484.0,3.0,4.0
1.0,49.0,1.0,493.0,494.0,3.0,4.0
1.0,0.0,1.0,3.0,7.0,3.0,7.0
1.0,1.0,1.0,13.0,17.0,3.0,7.0
1.0,2.0,1.0,23.0,27.0,3.0,7.0
1.0,3.0,1.0,33.0,37.0,3.0,7.0
1.0,4.0,1.0,43.0,47.0,3.0,7.0
1.0,5.0,1.0,53.0,57.0,3.0,7.0
1.0,6.0,1.0,63.0,67.0,3.0,7.0
1.0,7.0,1.0,73.0,77.0,3.0,7.0
1.0,8.0,1.0,83.0,87.0,3.0,7.0
1.0,9.0,1.0,93.0,97.0,3.0,7.0
1.0,10.0,1.0,103.0,107.0,3.0,7.0
1.0,11.0,1.0,113.0,117.0,3.0,7.0
1.0,12.0,1.0,123.0,127.0,3.0,7.0
1.0,13.0,1.0,133.0,137.0,3.0,7.0
1.0,14.0,1.0,143.0,147.0,3.0,7.0
1.0,15.0,1.0,153.0,157.0,3.0,7.0
1.0,16.0,1.0,163.0,167.0,3.0,7.0
1.0,17.0,1.0,173.0,177.0,3.0,7.0
1.0,18.0,1.0,183.0,187.0,3.0,7.0
1.0,19.0,1.0,193.0,197.0,3.0,7.0
1.0,20.0,1.0,203.0,207.0,3.0,7.0
1.0,21.0,1.0,213.0,217.0,3.0,7.0
1.0,22.0,1.0,223.0,227.0,3.0,7.0
1.0,23.0,1.0,233.0,237.0,3.0,7.0
1.0,24.0,1.0,243.0,247.0,3.0,7.0
1.0,25.0,1.0,253.0,257.0,3.0,7.0
1.0,26.0,1.0,263.0,267.0,3.0,7.0
1.0,27.0,1.0,273.0,277.0,3.0,7.0
1.0,28.0,1.0,283.0,287.0,3.0,7.0
1.0,29.0,1.0,293.0,297.0,3.0,7.0
1.0,30.0,1.0,303.0,307.0,3.0,7.0
1.0,31.0,1.0,313.0,317.0,3.0,7.0
1.0,32.0,1.0,323.0,327.0,3.0,7.0
1.0,33.0,1.0,333.0,337.0,3.0,7.0
1.0,34.0,1.0,343.0,347.0,3.0,7.0
1.0,35.0,1.0,353.0,357.0,3.0,7.0
1.0,36.0,1.0,363.0,367.0,3.0,7.0
1.0,37.0,1.0,373.0,377.0,3.0,7.0
1.0,38.0,1.0,383.0,387.0,3.0,7.0
1.0,39.0,1.0,393.0,397.0,3.0,7.0
1.0,40.0,1.0,403.0,407.0,3.0,7.0
1.0,41.0,1.0,413.0,417.0,3.0,7.0
1.0,42.0,1.0,423.0,427.0,3.0,7.0
1.0,43.0,1.0,433.0,437.0,3.0,7.0
1.0,44.0,1.0,443.0,447.0,3.0,7.0
1.0,45.0,1.0,453.0,457.0,3.0,7.0
1.0,46.0,1.0,463.0,467.0,3.0,7.0
1.0,47.0,1.0,473.0,477.0,3.0,7.0
1.0,48.0,1.0,483.0,487.0,3.0,7.0
1.0,49.0,1.0,493.0,497.0,3.0,7.0
1.0,0.0,1.0,3.0,6.0,3.0,6.0
1.0,1.0,1.0,13.0,16.0,3.0,6.0
1.0,2.0,1.0,23.0,26.0,3.0,6.0
1.0,3.0,1.0,33.0,36.0,3.0,6.0
1.0,4.0,1.0,43.0,46.0,3.0,6.0
1.0,5.0,1.0,53.0,56.0,3.0,6.0
1.0,6.0,1.0,63.0,66.0,3.0,6.0
1.0,7.0,1.0,73.0,76.0,3.0,6.0
1.0,8.0,1.0,83.0,86.0,3.0,6.0
1.0,9.0,1.0,93.0,96.0,3.0,6.0
1.0,10.0,1.0,103.0,106.0,3.0,6.0
1.0,11.0,1.0,113.0,116.0,3.0,6.0
1.0,12.0,1.0,123.0,126.0,3.0,6.0
1.0,13.0,1.0,133.0,136.0,3.0,6.0
1.0,14.0,1.0,143.0,146.0,3.0,6.0
1.0,15.0,1.0,153.0,156.0,3.0,6.0
1.0,16.0,1.0,163.0,166.0,3.0,6.0
1.0,17.0,1.0,173.0,176.0,3.0,6.0
1.0,18.0,1.0,183.0,186.0,3.0,6.0
1.0,19.0,1.0,193.0,196.0,3.0,6.0
1.0,20.0,1.0,203.0,206.0,3.0,6.0
1.0,21.0,1.0,213.0,216.0,3.0,6.0
1.0,22.0,1.0,223.0,226.0,3.0,6.0
1.0,23.0,1.0,233.0,236.0,3.0,6.0
1.0,24.0,1.0,243.0,246.0,3.0,6.0
1.0,25.0,1.0,253.0,256.0,3.0,6.0
1.0,26.0,1.0,263.0,266.0,3.0,6.0
1.0,27.0,1.0,273.0,276.0,3.0,6.0
1.0,28.0,1.0,283.0,286.0,3.0,6.0
1.0,29.0,1.0,293.0,296.0,3.0,6.0
1.0,30.0,1.0,303.0,306.0,3.0,6.0
1.0,31.0,1.0,313.0,316.0,3.0,6.0
1.0,32.0,1.0,323.0,326.0,3.0,6.0
1.0,33.0,1.0,333.0,336.0,3.0,6.0
1.0,34.0,1.0,343.0,346.0,3.0,6.0
1.0,35.0,1.0,353.0,356.0,3.0,6.0
1.0,36.0,1.0,363.0,366.0,3.0,6.0
1.0,37.0,1.0,373.0,376.0,3.0,6.0
1.0,38.0,1.0,383.0,386.0,3.0,6.0
1.0,39.0,1.0,393.0,396.0,3.0,6.0
1.0,40.0,1.0,403.0,406.0,3.0,6.0
1.0,41.0,1.0,413.0,416.0,3.0,6.0
1.0,42.0,1.0,423.0,426.0,3.0,6.0
1.0,43.0,1.0,433.0,436.0,3.0,6.0
1.0,44.0,1.0,443.0,446.0,3.0,6.0
1.0,45.0,1.0,453.0,456.0,3.0,6.0
1.0,46.0,1.0,463.0,466.0,3.0,6.0
1.0,47.0,1.0,473.0,476.0,3.0,6.0
1.0,48.0,1.0,483.0,486.0,3.0,6.0
1.0,49.0,1.0,493.0,496.0,3.0,6.0
1.0,0.0,1.0,3.0,8.0,3.0,8.0
1.0,1.0,1.0,13.0,18.0,3.0,8.0
1.0,2.0,1.0,23.0,28.0,3.0,8.0
1.0,3.0,1.0,33.0,38.0,3.0,8.0
1.0,4.0,1.0,43.0,48.0,3.0,8.0
1.0,5.0,1.0,53.0,58.0,3.0,8.0
1.0,6.0,1.0,63.0,68.0,3.0,8.0
1.0,7.0,1.0,73.0,78.0,3.0,8.0
1.0,8.0,1.0,83.0,88.0,3.0,8.0
1.0,9.0,1.0,93.0,98.0,3.0,8.0
1.0,10.0,1.0,103.0,108.0,3.0,8.0
1.0,11.0,1.0,113.0,118.0,3.0,8.0
1.0,12.0,1.0,123.0,128.0,3.0,8.0
1.0,13.0,1.0,133.0,138.0,3.0,8.0
1.0,14.0,1.0,143.0,148.0,3.0,8.0
1.0,15.0,1.0,153.0,158.0,3.0,8.0
1.0,16.0,1.0,163.0,168.0,3.0,8.0
1.0,17.0,1.0,173.0,178.0,3.0,8.0
1.0,18.0,1.0,183.0,188.0,3.0,8.0
1.0,19.0,1.0,193.0,198.0,3.0,8.0
1.0,20.0,1.0,203.0,208.0,3.0,8.0
1.0,21.0,1.0,213.0,218.0,3.0,8.0
1.0,22.0,1.0,223.0,228.0,3.0,8.0
1.0,23.0,1.0,233.0,238.0,3.0,8.0
1.0,24.0,1.0,243.0,248.0,3.0,8.0
1.0,25.0,1.0,253.0,258.0,3.0,8.0
1.0,26.0,1.0,263.0,268.0,3.0,8.0
1.0,27.0,1.0,273.0,278.0,3.0,8.0
1.0,28.0,1.0,283.0,288.0,3.0,8.0
1.0,29.0,1.0,293.0,298.0,3.0,8.0
1.0,30.0,1.0,303.0,308.0,3.0,8.0
1.0,31.0,1.0,313.0,318.0,3.0,8.0
1.0,32.0,1.0,323.0,328.0,3.0,8.0
1.0,33.0,1.0,333.0,338.0,3.0,8.0
1.0,34.0,1.0,343.0,348.0,3.0,8.0
1.0,35.0,1.0,353.0,358.0,3.0,8.0
1.0,36.0,1.0,363.0,368.0,3.0,8.0
1.0,37.0,1.0,373.0,378.0,3.0,8.0
1.0,38.0,1.0,383.0,388.0,3.0,8.0
1.0,39.0,1.0,393.0,398.0,3.0,8.0
1.0,40.0,1.0,403.0,408.0,3.0,8.0
1.0,41.0,1.0,413.0,418.0,3.0,8.0
1.0,42.0,1.0,423.0,428.0,3.0,8.0
1.0,43.0,1.0,433.0,438.0,3.0,8.0
1.0,44.0,1.0,443.0,448.0,3.0,8.0
1.0,45.0,1.0,453.0,458.0,3.0,8.0
1.0,46.0,1.0,463.0,468.0,3.0,8.0
1.0,47.0,1.0,473.0,478.0,3.0,8.0
1.0,48.0,1.0,483.0,488.0,3.0,8.0
1.0,49.0,1.0,493.0,498.0,3.0,8.0
1.0,0.0,1.0,3.0,5.0,3.0,5.0
1.0,1.0,1.0,13.0,15.0,3.0,5.0
1.0,2.0,1.0,23.0,25.0,3.0,5.0
1.0,3.0,1.0,33.0,35.0,3.0,5.0
1.0,4.0,1.0,43.0,45.0,3.0,5.0
1.0,5.0,1.0,53.0,55.0,3.0,5.0
1.0,6.0,1.0,63.0,65.0,3.0,5.0
1.0,7.0,1.0,73.0,75.0,3.0,5.0
1.0,8.0,1.0,83.0,85.0,3.0,5.0
1.0,9.0,1.0,93.0,95.0,3.0,5.0
1.0,10.0,1.0,103.0,105.0,3.0,5.0
1.0,11.0,1.0,113.0,115.0,3.0,5.0
1.0,12.0,1.0,123.0,125.0,3.0,5.0
1.0,13.0,1.0,133.0,135.0,3.0,5.0
1.0,14.0,1.0,143.0,145.0,3.0,5.0
1.0,15.0,1.0,153.0,155.0,3.0,5.0
1.0,16.0,1.0,163.0,165.0,3.0,5.0
1.0,17.0,1.0,173.0,175.0,3.0,5.0
1.0,18.0,1.0,183.0,185.0,3.0,5.0
1.0,19.0,1.0,193.0,195.0,3.0,5.0
1.0,20.0,1.0,203.0,205.0,3.0,5.0
1.0,21.0,1.0,213.0,215.0,3.0,5.0
1.0,22.0,1.0,223.0,225.0,3.0,5.0
1.0,23.0,1.0,233.0,235.0,3.0,5.0
1.0,24.0,1.0,243.0,245.0,3.0,5.0
1.0,25.0,1.0,253.0,255.0,3.0,5.0
1.0,26.0,1.0,263.0,265.0,3.0,5.0
1.0,27.0,1.0,273.0,275.0,3.0,5.0
1.0,28.0,1.0,283.0,285.0,3.0,5.0
1.0,29.0,1.0,293.0,295.0,3.0,5.0
1.0,30.0,1.0,303.0,305.0,3.0,5.0
1.0,31.0,1.0,313.0,315.0,3.0,5.0
1.0,32.0,1.0,323.0,325.0,3.0,5.0
1.0,33.0,1.0,333.0,335.0,3.0,5.0
1.0,34.0,1.0,343.0,345.0,3.0,5.0
1.0,35.0,1.0,353.0,355.0,3.0,5.0
1.0,36.0,1.0,363.0,365.0,3.0,5.0
1.0,37.0,1.0,373.0,375.0,3.0,5.0
1.0,38.0,1.0,383.0,385.0,3.0,5.0
1.0,39.0,1.0,393.0,395.0,3.0,5.0
1.0,40.0,1.0,403.0,405.0,3.0,5.0
1.0,41.0,1.0,413.0,415.0,3.0,5.0
1.0,42.0,1.0,423.0,425.0,3.0,5.0
1.0,43.0,1.0,433.0,435.0,3.0,5.0
1.0,44.0,1.0,443.0,445.0,3.0,5.0
1.0,45.0,1.0,453.0,455.0,3.0,5.0
1.0,46.0,1.0,463.0,465.0,3.0,5.0
1.0,47.0,1.0,473.0,475.0,3.0,5.0
1.0,48.0,1.0,483.0,485.0,3.0,5.0
1.0,49.0,1.0,493.0,495.0,3.0,5.0
1.0,0.0,1.0,3.0,3.0,3.0,3.0
1.0,1.0,1.0,13.0,13.0,3.0,3.0
1.0,2.0,1.0,23.0,23.0,3.0,3.0
1.0,3.0,1.0,33.0,33.0,3.0,3.0
1.0,4.0,1.0,43.0,43.0,3.0,3.0
1.0,5.0,1.0,53.0,53.0,3.0,3.0
1.0,6.0,1.0,63.0,63.0,3.0,3.0
1.0,7.0,1.0,73.0,73.0,3.0,3.0
1.0,8.0,1.0,83.0,83.0,3.0,3.0
1.0,9.0,1.0,93.0,93.0,3.0,3.0
1.0,10.0,1.0,103.0,103.0,3.0,3.0
1.0,11.0,1.0,113.0,113.0,3.0,3.0
1.0,12.0,1.0,123.0,123.0,3.0,3.0
1.0,13.0,1.0,133.0,133.0,3.0,3.0
1.0,14.0,1.0,143.0,143.0,3.0,3.0
1.0,15.0,1.0,153.0,153.0,3.0,3.0
1.0,16.0,1.0,163.0,163.0,3.0,3.0
1.0,17.0,1.0,173.0,173.0,3.0,3.0
1.0,18.0,1.0,183.0,183.0,3.0,3.0
1.0,19.0,1.0,193.0,193.0,3.0,3.0
1.0,20.0,1.0,203.0,203.0,3.0,3.0
1.0,21.0,1.0,213.0,213.0,3.0,3.0
1.0,22.0,1.0,223.0,223.0,3.0,3.0
1.0,23.0,1.0,233.0,233.0,3.0,3.0
1.0,24.0,1.0,243.0,243.0,3.0,3.0
1.0,25.0,1.0,253.0,253.0,3.0,3.0
1.0,26.0,1.0,263.0,263.0,3.0,3.0
1.0,27.0,1.0,273.0,273.0,3.0,3.0
1.0,28.0,1.0,283.0,283.0,3.0,3.0
1.0,29.0,1.0,293.0,293.0,3.0,3.0
1.0,30.0,1.0,303.0,303.0,3.0,3.0
1.0,31.0,1.0,313.0,313.0,3.0,3.0
1.0,32.0,1.0,323.0,323.0,3.0,3.0
1.0,33.0,1.0,333.0,333.0,3.0,3.0
1.0,34.0,1.0,343.0,343.0,3.0,3.0
1.0,35.0,1.0,353.0,353.0,3.0,3.0
1.0,36.0,1.0,363.0,363.0,3.0,3.0
1.0,37.0,1.0,373.0,373.0,3.0,3.0
1.0,38.0,1.0,383.0,383.0,3.0,3.0
1.0,39.0,1.0,393.0,393.0,3.0,3.0
1.0,40.0,1.0,403.0,403.0,3.0,3.0
1.0,41.0,1.0,413.0,413.0,3.0,3.0
1.0,42.0,1.0,423.0,423.0,3.0,3.0
1.0,43.0,1.0,433.0,433.0,3.0,3.0
1.0,44.0,1.0,443.0,443.0,3.0,3.0
1.0,45.0,1.0,453.0,453.0,3.0,3.0
1.0,46.0,1.0,463.0,463.0,3.0,3.0
1.0,47.0,1.0,473.0,473.0,3.0,3.0
1.0,48.0,1.0,483.0,483.0,3.0,3.0
1.0,49.0,1.0,493.0,493.0,3.0,3.0
1.0,0.0,1.0,3.0,2.0,3.0,2.0
1.0,1.0,1.0,13.0,12.0,3.0,2.0
1.0,2.0,1.0,23.0,22.0,3.0,2.0
1.0,3.0,1.0,33.0,32.0,3.0,2.0
1.0,4.0,1.0,43.0,42.0,3.0,2.0
1.0,5.0,1.0,53.0,52.0,3.0,2.0
1.0,6.0,1.0,63.0,62.0,3.0,2.0
1.0,7.0,1.0,73.0,72.0,3.0,2.0
1.0,8.0,1.0,83.0,82.0,3.0,2.0
1.0,9.0,1.0,93.0,92.0,3.0,2.0
1.0,10.0,1.0,103.0,102.0,3.0,2.0
1.0,11.0,1.0,113.0,112.0,3.0,2.0
1.0,12.0,1.0,123.0,122.0,3.0,2.0
1.0,13.0,1.0,133.0,132.0,3.0,2.0
1.0,14.0,1.0,143.0,142.0,3.0,2.0
1.0,15.0,1.0,153.0,152.0,3.0,2.0
1.0,16.0,1.0,163.0,162.0,3.0,2.0
1.0,17.0,1.0,173.0,172.0,3.0,2.0
1.0,18.0,1.0,183.0,182.0,3.0,2.0
1.0,19.0,1.0,193.0,192.0,3.0,2.0
1.0,20.0,1.0,203.0,202.0,3.0,2.0
1.0,21.0,1.0,213.0,212.0,3.0,2.0
1.0,22.0,1.0,223.0,222.0,3.0,2.0
1.0,23.0,1.0,233.0,232.0,3.0,2.0
1.0,24.0,1.0,243.0,242.0,3.0,2.0
1.0,25.0,1.0,253.0,252.0,3.0,2.0
1.0,26.0,1.0,263.0,262.0,3.0,2.0
1.0,27.0,1.0,273.0,272.0,3.0,2.0
1.0,28.0,1.0,283.0,282.0,3.0,2.0
1.0,29.0,1.0,293.0,292.0,3.0,2.0
1.0,30.0,1.0,303.0,302.0,3.0,2.0
1.0,31.0,1.0,313.0,312.0,3.0,2.0
1.0,32.0,1.0,323.0,322.0,3.0,2.0
1.0,33.0,1.0,333.0,332.0,3.0,2.0
1.0,34.0,1.0,343.0,342.0,3.0,2.0
1.0,35.0,1.0,353.0,352.0,3.0,2.0
1.0,36.0,1.0,363.0,362.0,3.0,2.0
1.0,37.0,1.0,373.0,372.0,3.0,2.0
1.0,38.0,1.0,383.0,382.0,3.0,2.0
1.0,39.0,1.0,393.0,392.0,3.0,2.0
1.0,40.0,1.0,403.0,402.0,3.0,2.0
1.0,41.0,1.0,413.0,412.0,3.0,2.0
1.0,42.0,1.0,423.0,422.0,3.0,2.0
1.0,43.0,1.0,433.0,432.0,3.0,2.0
1.0,44.0,1.0,443.0,442.0,3.0,2.0
1.0,45.0,1.0,453.0,452.0,3.0,2.0
1.0,46.0,1.0,463.0,462.0,3.0,2.0
1.0,47.0,1.0,473.0,472.0,3.0,2.0
1.0,48.0,1.0,483.0,482.0,3.0,2.0
1.0,49.0,1.0,493.0,492.0,3.0,2.0
1.0,0.0,1.0,3.0,1.0,3.0,1.0
1.0,1.0,1.0,13.0,11.0,3.0,1.0
1.0,2.0,1.0,23.0,21.0,3.0,1.0
1.0,3.0,1.0,33.0,31.0,3.0,1.0
1.0,4.0,1.0,43.0,41.0,3.0,1.0
1.0,5.0,1.0,53.0,51.0,3.0,1.0
1.0,6.0,1.0,63.0,61.0,3.0,1.0
1.0,7.0,1.0,73.0,71.0,3.0,1.0
1.0,8.0,1.0,83.0,81.0,3.0,1.0
1.0,9.0,1.0,93.0,91.0,3.0,1.0
1.0,10.0,1.0,103.0,101.0,3.0,1.0
1.0,11.0,1.0,113.0,111.0,3.0,1.0
1.0,12.0,1.0,123.0,121.0,3.0,1.0
1.0,13.0,1.0,133.0,131.0,3.0,1.0
1.0,14.0,1.0,143.0,141.0,3.0,1.0
1.0,15.0,1.0,153.0,151.0,3.0,1.0
1.0,16.0,1.0,163.0,161.0,3.0,1.0
1.0,17.0,1.0,173.0,171.0,3.0,1.0
1.0,18.0,1.0,183.0,181.0,3.0,1.0
1.0,19.0,1.0,193.0,191.0,3.0,1.0
1.0,20.0,1.0,203.0,201.0,3.0,1.0
1.0,21.0,1.0,213.0,211.0,3.0,1.0
1.0,22.0,1.0,223.0,221.0,3.0,1.0
1.0,23.0,1.0,233.0,231.0,3.0,1.0
1.0,24.0,1.0,243.0,241.0,3.0,1.0
1.0,25.0,1.0,253.0,251.0,3.0,1.0
1.0,26.0,1.0,263.0,261.0,3.0,1.0
1.0,27.0,1.0,273.0,271.0,3.0,1.0
1.0,28.0,1.0,283.0,281.0,3.0,1.0
1.0,29.0,1.0,293.0,291.0,3.0,1.0
1.0,30.0,1.0,303.0,301.0,3.0,1.0
1.0,31.0,1.0,313.0,311.0,3.0,1.0
1.0,32.0,1.0,323.0,321.0,3.0,1.0
1.0,33.0,1.0,333.0,331.0,3.0,1.0
1.0,34.0,1.0,343.0,341.0,3.0,1.0
1.0,35.0,1.0,353.0,351.0,3.0,1.0
1.0,36.0,1.0,363.0,361.0,3.0,1.0
1.0,37.0,1.0,373.0,371.0,3.0,1.0
1.0,38.0,1.0,383.0,381.0,3.0,1.0
1.0,39.0,1.0,393.0,391.0,3.0,1.0
1.0,40.0,1.0,403.0,401.0,3.0,1.0
